id,name,agency_name,position_title_1,position_title_2,position_title_3,grade_level,start_date,end_date,former_org_name,former_org_role,former_org_description,financial_disclosure_url,departed,story_text,story_block,source_url
267,Jeffrey Bossert Clark,Justice,Assistant Attorney General for the Environment and Natural Resources Division,,,,,,"Air-Conditioning, Heating, and Refrigeration Institute  (client of Kirkland & Ellis LLP)",compensation_source,legal services,https://www.documentcloud.org/documents/4388021-Jeffrey-Bossert-Clark-Financial-Disclosure.html,,"Represented multinational oil and gas British Petroleum (BP) in an environment lawsuit for the Deepwater Horizon spill, considered the worst oil spill in U.S. history. ",,Warren Report Card
268,Jeffrey Bossert Clark,Justice,Assistant Attorney General for the Environment and Natural Resources Division,,,,,,Allstate Insurance Company (client of Kirkland & Ellis LLP),compensation_source,legal services,https://www.documentcloud.org/documents/4388021-Jeffrey-Bossert-Clark-Financial-Disclosure.html,,"Represented multinational oil and gas British Petroleum (BP) in an environment lawsuit for the Deepwater Horizon spill, considered the worst oil spill in U.S. history. ",,Warren Report Card
285,Seema Verma,Health and Human Services,"Administrator, Centers for Medicare and Medicaid Services",,,,3/13/17,,Milliman - Ohio Medicaid,compensation_source,Consulting,https://www.documentcloud.org/documents/4387919-Seema-Verma-Financial-Disclosure.html,,"Founded a healthcare consulting firm that has represented states such as Arkansas, Indiana, and Virginia. Received an ethics waiver to work on matters related to those states.",,Warren Report Card
286,Scott Gottlieb,Health and Human Services,"Commissioner, Food and Drug Administration",,,,5/9/17,,American Enterprise Institute,compensation_source,Resident Fellow,https://www.documentcloud.org/documents/4388431-Scott-Gottlieb-Financial-Disclosure.html,,Partner for venture capital firm that invests in healthcare and tech companies. ,,Warren Report Card
287,Scott Gottlieb,Health and Human Services,"Commissioner, Food and Drug Administration",,,,5/9/17,,New Enterprise Associates,compensation_source,Venture Partner,https://www.documentcloud.org/documents/4388431-Scott-Gottlieb-Financial-Disclosure.html,,Partner for venture capital firm that invests in healthcare and tech companies. ,,Warren Report Card
288,Scott Gottlieb,Health and Human Services,"Commissioner, Food and Drug Administration",,,,5/9/17,,T.R. Winston & Company,compensation_source,Managing Director,https://www.documentcloud.org/documents/4388431-Scott-Gottlieb-Financial-Disclosure.html,,Partner for venture capital firm that invests in healthcare and tech companies. ,,Warren Report Card
337,Seema Verma,Health and Human Services,"Administrator, Centers for Medicare and Medicaid Services",,,,3/13/17,,Milliman - Kentucky Medicaid,compensation_source,Consulting,https://www.documentcloud.org/documents/4387919-Seema-Verma-Financial-Disclosure.html,,"Founded a healthcare consulting firm that has represented states such as Arkansas, Indiana, and Virginia. Received an ethics waiver to work on matters related to those states.",,Warren Report Card
338,Brian Allen Benczkowski,Justice,Assistant Attorney General for the Criminal Division,,,,,,Kirkland & Ellis LLP,compensation_source,Partner,https://www.documentcloud.org/documents/4388020-Brian-Allen-Benczkowski-Financial-Disclosure.html,,,,Warren Report Card
339,Brian Allen Benczkowski,Justice,Assistant Attorney General for the Criminal Division,,,,,,"AbbVie, Inc.",compensation_source,Legal services,https://www.documentcloud.org/documents/4388020-Brian-Allen-Benczkowski-Financial-Disclosure.html,,,,Warren Report Card
340,Brian Allen Benczkowski,Justice,Assistant Attorney General for the Criminal Division,,,,,,Blue Cross Blue Shield,compensation_source,Legal services,https://www.documentcloud.org/documents/4388020-Brian-Allen-Benczkowski-Financial-Disclosure.html,,,,Warren Report Card
356,Seema Verma,Health and Human Services,"Administrator, Centers for Medicare and Medicaid Services",,,,3/13/17,,Indiana Family and Social Servcies,compensation_source,Consulting,https://www.documentcloud.org/documents/4387919-Seema-Verma-Financial-Disclosure.html,,"Founded a healthcare consulting firm that has represented states such as Arkansas, Indiana, and Virginia. Received an ethics waiver to work on matters related to those states.",,Warren Report Card
